Year,Congo,Italy
1948,50,1077
1949,41,1121
1950,6,1206
1951,6,1648
1952,5,1387
1953,6,1507
1954,8,1638
1955,10,1856
1956,11,2146
1957,13,2547
1958,14,2577
1959,14,2929
1960,18,3657
1961,20,4184
1962,35,4667
1963,42,5056
1964,47,5962
1965,47,7198
1966,43,8038
1967,48,8706
1968,49,10186
1969,44,11728
1970,31,13205
1971,40,15105
1972,60,18609
1973,89,22226
1974,229,30465
1975,178,34988
1976,221,37265
1977,267,45305
1978,308,56090
1979,496,72233
1980,911,78104
1981,811,77070
1982,993,73791
1983,640,72877
1984,1183,74564
1985,1087,76717
1986,777,97204
1987,973,116711
1988,937,127859
1989,1247,140556
1990,981,170304
1991,1029,169465
1992,1183,178155
1993,1068,169229
1994,959,191362
1995,1172,233766
1996,1345,252293
1997,1668,240414
1998,1365,245801
1999,1560,235564
2000,2489,240518
2001,2055,244490
2002,2280,254427
2003,2677,299333
2004,3433,353782
2005,4745,373135
2006,6078,416875
2007,6293,499882
2008,9170,542748
2009,8202,406909
2010,6918,447301
2011,13824,523258
2012,7438,501306
2013,10453,518268
2014,8673,529797
2015,8623,456990
2016,7901,461737
2017,8252,507418
2018,11155,549526
2019,5576,537718
2020,4893,499792
2021,7512,615635
2022,9503,658557
2023,7408,676724
2024,6900,674447
